x,y
4.009836548,0.320955583
4.080827975,0.348863533
4.201454919,0.408641221
4.371755109,0.492331115
4.563316882,0.591953047
4.761972139,0.695559404
5.024506475,0.827068052
5.407592291,1.034269447
5.613341031,1.141860228
5.882912252,1.289289595
6.010632678,1.353051707
6.330839295,1.321476275
6.594147122,1.289855565
7.006870868,1.246417414
7.298345105,1.274500815
7.803114341,1.318669066
8.016409339,1.334753917
8.32944701,1.315109119
8.550005282,1.29936951
8.813256512,1.279685095
9.005346524,1.267901612
9.16925126,1.200392783
9.860545142,0.906513176
10.00305623,0.850923662