Day,Temp.Max ,Temp.Avg ,Temp.Min ,Dew.Max ,Dew.Avg ,Dew.Min ,Hum.Max ,Hum.Avg ,Hum.Min ,Wind.Max ,Wind.Avg ,Wind.Min ,Press.Max ,Press.Avg ,Press.Min ,Total 
1 ,63 ,47.5 ,34 ,30 ,28.1 ,0 ,81 ,51.6 ,27 ,8 ,3.5 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
2 ,57 ,47.6 ,37 ,37 ,23.6 ,0 ,87 ,59.8 ,36 ,15 ,8.1 ,3 ,29.4 ,29.3 ,29.2 ,0.00 
3 ,52 ,48.3 ,46 ,48 ,44.0 ,36 ,100 ,86.6 ,54 ,14 ,7.3 ,0 ,29.3 ,29.2 ,29.0 ,0.00 
4 ,63 ,51.7 ,46 ,54 ,48.8 ,46 ,100 ,91.0 ,63 ,14 ,4.9 ,0 ,29.0 ,28.9 ,28.8 ,0.00 
5 ,79 ,57.8 ,39 ,54 ,46.3 ,39 ,100 ,71.3 ,32 ,8 ,3.0 ,0 ,28.8 ,28.8 ,28.7 ,0.00 
6 ,61 ,52.1 ,48 ,61 ,47.5 ,43 ,100 ,83.9 ,76 ,16 ,9.3 ,3 ,29.1 ,29.0 ,28.8 ,0.00 
7 ,66 ,51.5 ,39 ,43 ,31.0 ,0 ,93 ,53.4 ,19 ,24 ,9.8 ,0 ,29.4 ,29.2 ,29.1 ,0.00 
8 ,63 ,46.9 ,32 ,34 ,23.9 ,0 ,81 ,50.1 ,22 ,12 ,4.0 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
9 ,70 ,51.0 ,37 ,36 ,22.2 ,0 ,75 ,51.2 ,21 ,15 ,5.8 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
10 ,70 ,52.9 ,36 ,54 ,37.3 ,0 ,93 ,65.2 ,40 ,17 ,7.6 ,0 ,29.4 ,29.2 ,29.1 ,0.00 
11 ,66 ,59.5 ,54 ,61 ,55.4 ,52 ,100 ,87.0 ,68 ,10 ,6.4 ,0 ,29.1 ,29.1 ,29.0 ,0.00 
12 ,73 ,69.1 ,64 ,66 ,64.3 ,63 ,100 ,85.5 ,73 ,14 ,7.6 ,0 ,29.1 ,29.0 ,29.0 ,0.00 
13 ,77 ,68.7 ,54 ,70 ,64.3 ,54 ,100 ,86.9 ,65 ,15 ,8.7 ,3 ,29.1 ,29.0 ,28.9 ,0.00 
14 ,59 ,53.7 ,45 ,59 ,53.3 ,45 ,100 ,98.8 ,94 ,12 ,5.9 ,0 ,29.1 ,29.0 ,28.9 ,0.00 
15 ,43 ,38.2 ,34 ,41 ,28.2 ,0 ,93 ,76.8 ,56 ,18 ,10.9 ,3 ,29.5 ,29.3 ,29.1 ,0.00 
16 ,36 ,29.9 ,0 ,34 ,22.0 ,0 ,100 ,88.8 ,80 ,10 ,4.0 ,0 ,29.6 ,29.5 ,29.5 ,0.00 
17 ,37 ,34.8 ,34 ,36 ,17.6 ,0 ,100 ,93.4 ,87 ,5 ,0.8 ,0 ,29.6 ,29.5 ,29.4 ,0.00 
18 ,48 ,41.0 ,0 ,45 ,37.6 ,0 ,100 ,85.5 ,0 ,6 ,1.0 ,0 ,29.4 ,29.3 ,29.3 ,0.00 
19 ,48 ,45.6 ,43 ,46 ,43.4 ,39 ,100 ,91.5 ,76 ,8 ,4.1 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
20 ,46 ,43.7 ,37 ,45 ,42.2 ,37 ,100 ,94.2 ,87 ,16 ,3.9 ,0 ,29.2 ,29.1 ,28.9 ,0.00 
21 ,70 ,49.7 ,37 ,46 ,40.2 ,36 ,100 ,75.5 ,31 ,10 ,3.8 ,0 ,29.0 ,29.0 ,28.9 ,0.00 
22 ,52 ,47.3 ,43 ,45 ,36.3 ,0 ,93 ,68.2 ,50 ,13 ,6.5 ,0 ,29.2 ,29.1 ,29.0 ,0.00 
23 ,50 ,45.5 ,43 ,43 ,30.0 ,0 ,93 ,67.7 ,54 ,9 ,3.5 ,0 ,29.3 ,29.2 ,29.1 ,0.00 
24 ,48 ,44.5 ,43 ,46 ,43.5 ,41 ,100 ,95.3 ,87 ,8 ,3.1 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
25 ,63 ,47.3 ,36 ,43 ,37.4 ,34 ,100 ,72.8 ,34 ,7 ,3.0 ,0 ,29.4 ,29.3 ,29.3 ,0.00 
26 ,59 ,49.5 ,39 ,54 ,41.8 ,36 ,100 ,76.2 ,51 ,9 ,6.6 ,0 ,29.3 ,29.1 ,29.0 ,0.00 
27 ,72 ,59.0 ,48 ,54 ,42.8 ,0 ,100 ,64.9 ,22 ,23 ,11.1 ,0 ,29.2 ,29.0 ,28.9 ,0.00 
28 ,57 ,45.3 ,34 ,37 ,25.7 ,0 ,87 ,59.8 ,33 ,14 ,4.2 ,0 ,29.4 ,29.3 ,29.2 ,0.00 
29 ,54 ,45.5 ,37 ,43 ,31.5 ,0 ,87 ,71.8 ,58 ,8 ,4.6 ,0 ,29.3 ,29.2 ,29.1 ,0.00 
30 ,66 ,54.3 ,48 ,46 ,44.7 ,43 ,93 ,71.0 ,43 ,15 ,6.6 ,0 ,29.2 ,29.2 ,29.1 ,0.00 
31 ,59 ,50.5 ,45 ,46 ,36.7 ,0 ,93 ,66.1 ,57 ,15 ,7.1 ,0 ,29.2 ,29.0 ,28.8 ,0.00 